matrix_size,process_count,mean_time,std_time,min_time,max_time,count,baseline_time,speedup,speedup_std
1700,1,27.33334,0.06284419623163273,27.2493,27.4051,5,27.33334,1.0,0.002299177350138429
1700,2,13.691040000000001,0.020198960369286565,13.6715,13.7207,5,27.33334,1.996440007479344,0.0029454309234896283
1700,4,6.922596,0.020269120109171212,6.90935,6.95824,5,27.33334,3.948423394922945,0.01156084625385545
1700,8,5.036309999999999,0.0221621964164208,5.00369,5.05831,5,27.33334,5.427255272213189,0.02388254443130864
1800,1,32.42982,0.1094261029188154,32.3344,32.5605,5,32.42982,1.0,0.003374243301961448
1800,2,16.320420000000002,0.13655761421466056,16.2224,16.5456,5,32.42982,1.9870701856937503,0.016626383624650656
1800,4,8.225686,0.04154065695195543,8.19695,8.29808,5,32.42982,3.942506436545232,0.01991010931020242
1800,8,5.9050780000000005,0.025351977634890836,5.87189,5.93247,5,32.42982,5.491852944194809,0.02357789905829122
1900,1,38.44188,0.38450494405143976,38.2041,39.1175,5,38.44188,1.0,0.010002240890701489
1900,2,19.33794,0.08395753688621538,19.2692,19.4814,5,38.44188,1.9878994349966954,0.008630657667767187
1900,4,9.749934,0.01054324096281579,9.73347,9.76012,5,38.44188,3.9427836126890705,0.0042635896502296565
1900,8,6.95415,0.044518404059444794,6.87706,6.98787,5,38.44188,5.5279049200836905,0.03538800641839457
2000,1,45.387260000000005,0.4098392892342074,44.8722,45.9694,5,45.387260000000005,1.0,0.009029831041446595
2000,2,22.29298,0.056185024695196345,22.2357,22.3634,5,45.387260000000005,2.035944050548648,0.0051311922747929554
2000,4,11.35374,0.0138460463671046,11.3372,11.3754,5,45.387260000000005,3.997560275292547,0.004875081244329713
2000,8,8.417886,0.5832097042488236,8.09174,9.44757,5,45.387260000000005,5.391764630692315,0.3735533429230727
